Context,Entity,Description,Entity Type,TS
"Figure 8: Relocation Resource Allocation procedure: Unsuccessful operation. If the target RNC cannot even partially accept the relocation of SRNS or a failure occurs during the Relocation Resource Allocation procedure in the target RNC, the target RNC shall send a RELOCATION FAILURE message to the CN. The RELOCATION FAILURE message shall contain the Cause IE with an appropriate value. If the target RNC cannot support any of the integrity protection (ciphering respectively) alternatives provided in the Integrity Protection Information IE or Encryption Information IE, it shall return a RELOCATION FAILURE message with the cause ""Requested Ciphering and/or Integrity Protection algorithms not supported"". If the target RNC cannot support the relocation due to PUESBINE feature, it shall return a RELOCATION FAILURE message with the cause ""Incoming Relocation Not Supported Due To PUESBINE Feature"". If the target RNC does not receive the CSG Membership Status IE but does receive the CSG Id IE in",SIPTO,"Selected IP Traffic Offload (SIPTO) at Iu-PS is a functionality supported by the UTRAN that allows offloading of Radio Access Bearers (RABs) based on specific parameters. This technology enables efficient management of data traffic and power consumption in mobile networks, particularly during relocation procedures.",Technology,TS 25.413
"reason why the -- intercepted call cannot be established or why the intercepted call has been -- released after the active phase. nature-Of-The-intercepted-call [12] ENUMERATED { --Not required for UMTS. May be included for backwards compatibility to GSM --Nature of the intercepted ""call"": gSM-ISDN-PSTN-circuit-call(0), -- the possible UUS content is sent through the HI2 or HI3 ""data"" interface -- the possible call content call is established through the HI3 âcircuitâ interface gSM-SMS-Message(1), -- the SMS content is sent through the HI2 or HI3 ""data"" interface uUS4-Messages(2), -- the UUS content is sent through the HI2 or HI3 ""data"" interface tETRA-circuit-call(3), -- the possible call content call is established through the HI3 ""circuit"" interface -- the possible data are sent through the HI3 ""data"" interface teTRA-Packet-Data(4), -- the data are sent through the HI3 ""data"" interface gPRS-Packet-Data(5), -- the data are sent through the HI3 ""data"" interface ... } OPTIONAL,",HI3,"The Handover Interface Port 3 (HI3) is a standardized interface in the 3GPP specification, used for the exchange of intercepted communication content between Lawful Interception (LI) systems and network operators. It enables the transfer of call content, SMS messages, and other data through either 'circuit' or 'data' interfaces.",Interface,3GPP TS 33.108
"administration domains (e.g. LI sub-functions are managed via different interfaces and have separated administration). In a virtual environment while the hypervisor plays a role in preventing one VM from accessing the memory of another (except through declared VM shared memory locations), the hypervisor is also able to inspect any memory which is directly under hypervisor control. Such access to memory or other VM resources cannot be detected by VM or 3GPP security mechanisms. Encrypting memory provides some resistance but if the keys used to encrypt the memory are also under hypervisor control (including hypervisor resource controlled Hardware Based Root of Trust (HBRT)) then this does not prevent introspection. In addition to reading memory, the hypervisor is also in many cases able to write directly to memory, bypassing normal memory access controls and security within the VNF VM. This allows an attacker with access to the hypervisor to change data within a 3GPP function at",VM,"A Virtual Machine (VM) is a software emulation of a physical computer or hardware platform, allowing multiple operating systems to run on a single physical machine. In the context of 3GPP specifications, VMs are relevant in discussions around virtualized network functions and security.",Device,3GPP TS 33.848
"The UE may be configured to perform logging of measurement results in idle mode, CELL_PCH, URA_PCH states and CELL_FACH state when second DRX cycle is used with LOGGING MEASUREMENT CONFIGURATION message specified in TS 25.331 [4]. This configuration is valid while the logging duration timer is running. If the configuration of logged measurements is valid, the UE shall perform logging of measurement results if all of the following conditions are met: - the UE is in camped normally state in idle mode, CELL_PCH or URA_PCH states or CELL_FACH state when second DRX cycle is used; - the RPLMN of the UE is present in the MDT PLMN identity list, if received in the LOGGING MEASUREMENT CONFIGURATION message, or the RPLMN of the UE is the same as the RPLMN at the point of time of LOGGING MEASUREMENT CONFIGURATION message reception; - the UE is camped on a cell belonging to Area Configuration (see TS 25.331 [4]), if configured; - the UE is camped on the RAT where the logged measurement",TCE,"The Trace Collection Entity (TCE) is a network function responsible for collecting and managing trace data from various sources within the network. It plays a crucial role in performance monitoring, troubleshooting, and optimization of the network.",Network Function,TS 37.320
User Plane Mode and required UP Mode Versions); - Transport Layer Information; - PDP Type Information (only for PS) or PDP Type Information extension (only for PS); - Data Volume Reporting Indication (only for PS); - DL GTP-PDU sequence number (only when GTP-PDU sequence number is available in cases of intersystem change from GPRS to UMTS or when establishing a RAB for an existing PDP context or in some further cases described in TS 23.060 [21]); - UL GTP-PDU sequence number (only when GTP-PDU sequence number is available in cases of intersystem change from GPRS to UMTS or when establishing a RAB for an existing PDP context or in some further cases described in TS 23.060 [21]); - DL N-PDU sequence number (only when N-PDU sequence number is available in case of intersystem change from GPRS to UMTS or in some further cases described in TS 23.060 [21]); - UL N-PDU sequence number (only when N-PDU sequence number is available in case of intersystem change from GPRS to UMTS or in some,IMEI,The International Mobile Equipment Identity (IMEI) is a unique identifier assigned to mobile devices. It is used for tracing and identifying equipment in the network. The IMEI consists of digits that can be matched against a mask to identify specific groups of devices.,Parameter,TS 25.413
"As depicted in Figure 4.2.16-1, the 5G System architecture allows user plane information exposure to some NFs via service-based interface in UPF. Figure 4.2.16-1: Architecture to support User Plane Information Exposure via a service-based interface NOTE 1: In this Release of the specification, only NWDAF/DCCF/MFAF, NEF/AF and TSNAF/TSCTSF are considered as the receiver of the UPF event notifications. NOTE 2: UPF information exposure is not restricted to SBI interface, i.e. reporting via PFCP over N4 to SMF is still applicable. Not all events can be subscribed to UPF directly. The details and constraints for the subscription to UPF event exposure service (i.e. direct vs. indirect) and the information exposed to certain NFs by UPF, as well as the information contained in the event notifications, are defined in clause 5.2.26.2 of TS 23.502[ Procedures for the 5G System (5GS) ]  [3] and clause 5.8.2.17.",MFAF,"The Multi-Function Access Function (MFAF) is a network function in the 5G system architecture that supports user plane information exposure via service-based interfaces. It is one of the network functions that can receive event notifications from the User Plane Function (UPF), enabling it to access and utilize user plane information for various purposes such as analytics, optimization, and policy enforcement.",Network Function,3GPP TS 23.501
"In the steady state phase each cell gets a cell sync burst plan which defines when cell sync bursts shall be transmitted and when cell sync bursts should be received. In this phase, the normal traffic is supported, i.e. the regular cell synchronisation monitoring and update is done in parallel to ongoing UE connections. The following procedures have to be considered: - Cell Sync Burst Instruction: Establishing a synchronisation schedule - Cell Sync Bursts Measurement Report - Synchronisation Adjustment procedure Cell Sync Burst Instruction: Defining the schedule consists of defining the transmission parameters and defining the receiving parameters. I.e. it is defined at which radio frames the cell shall transmit a sync burst and at which radio frames the cell shall receive sync bursts. Information elements required: - Time slot: This defines a PRACH timeslot to use - For all SFN where the cell transmits a sync burst: - Cell Sync Burst Code - Cell Sync Burst Code Shift - Tx Power (for",RB,"A Radio Bearer (RB) is a logical channel that carries specific types of data or services over the radio interface between the User Equipment (UE) and the Universal Terrestrial Radio Access Network (UTRAN). In the context of Multimedia Broadcast Multicast Service (MBMS), an MBMS RB is used to transmit multimedia content from a single source to multiple recipients. The release of an MBMS RB can be initiated explicitly through signaling or implicitly based on the absence of the RB in the MBMS SERVICE INFORMATION flow.",Connection,TS 25.346
"An example of this case is mobility between two I-WLAN 3GPP IP access systems. The problem to be solved is to retain the IPsec tunnel even when the IP address of the UE changes due to mobility. There are two cases here: the PDG remains the same or the PDG changes. If PDG remains the same, the existing IPsec tunnel could be maintained. In order to achieve this, a mechanism proposed in TR 23.882, Annex E, is MOBIKE. For MOBIKE to work, it is required that the PDG remains the same while the UE moves. If the PDG changes, then it is not a matter of maintaining the IPSec tunnel, but creating a new one with the target PDG. In such case, the focus becomes the mechanisms on the S2 interface, not what happens between the new PDG and the UE. Another possible solution to retain the IPsec tunnel when the PDG remains fixed would be the use of an IP mobility mechanism (e.g. Mobile IP). The Mobile IP Home Agent would have to be e.g. located between the PDG and the UE, but close to the PDG, ensuring",PDG,The Packet Data Gateway (PDG) is a network function that provides access to packet data services for user equipment (UE). It acts as an entry point for UEs to access the network and manages IPsec tunnels for secure communication.,Network Function,3GPP TS 33.922
"The Iu UP protocol is located in the User plane of the Radio Network layer over the Iu interface: the Iu UP protocol layer. The Iu UP protocol is used to convey user data associated to Radio Access Bearers. One Iu UP protocol instance is associated to one RAB and one RAB only. If several RABs are established towards one given UE, then these RABs make use of several Iu UP protocol instances. In general, Iu UP protocol instances exist at Iu access point as defined in TS 25.410 [2] i.e. at CN and UTRAN. However, as described in TS 23.153 [13], if TrFO is possible and the Iu UP protocol instances operate in support mode the Iu UP protocol instance in CN may resume performing Iu UP specific functions or vanish completely during stable call states. In this case the partner peer entity actually interacting with the UTRAN Iu UP protocol instance (i.e. performing all Iu UP specific functions except UP initialisation) may either be located within another UTRAN or within a CN node that is not the",RNTI,"Radio Network Temporary Identity (RNTI) is a type of identifier used in UTRAN/GERAN Iu mode to identify User Equipment (UE) within the radio network. There are six types of RNTI, each serving different purposes such as identifying UE to Serving RNC/BSS, addressing UE/MS, and identifying UE to Drift RNC. The allocation and uniqueness of RNTI vary depending on its type and usage.",Parameter,TS 25.401
"with the gNB-CU-CP as follows: - A list of TNL address(es) with which the gNB-CU-UP successfully established the TNL association shall be included in the gNB-CU-CP TNLA Setup List IE; - A list of TNL address(es) with which the gNB-CU-UP failed to establish the TNL association shall be included in the gNB-CU-CP TNLA Failed To Setup List IE. If the GNB-CU-CP CONFIGURATION UPDATE message includes gNB-CU-CP TNLA To Remove List IE, the gNB-CU-UP shall, if supported, initiate removal of the TNL association(s) indicated by gNB-CU-UP TNL endpoint(s) and gNB-CU-CP TNL endpoint(s) if the TNLA Transport Layer Address gNB-CU-UP IE is present, or the TNL association(s) indicated by gNB-CU-CP TNL endpoint(s) if the TNLA Transport Layer Address gNB-CU-UP IE is absent: - if the received TNLA Transport Layer Address IE includes the Port Number IE, the gNB-CU-CP TNL endpoint is identified by the Endpoint IP Address IE and the Port Number IE. Otherwise, the gNB-CU-CP TNL endpoints correspond to all",DMRS,"The Demodulation Reference Signal (DMRS) is a type of reference signal used in the downlink direction to assist the user equipment (UE) in demodulating the received signal. It is transmitted on specific antenna ports and is essential for single-layer spatial multiplexing, enabling the UE to detect and decode the desired signal while rejecting interference from simultaneous transmissions on other DMRS antenna ports.",Connection,TS 36.101
"Transmitted Matrix Precoding Indicator (TPMI) is the basis of codebook based transmission enabling multi-port antenna transmission. TPMI method is identified as applicable method to enhance EIRP measurement, which is able to activate dual polarization transmission in EIRP measurement. The applicability of this method is defined in Clause 5.2.2.2. For FR2 UEs support the TPMI method, the precoding matrix is given by Table 5.2.2.1-1 (same as Table 6.3.1.5-1 in TS 38.211 [4]). 2Tx TPMI index 2-5 can force UE single-layer transmission using two antenna ports. Among them, only TPMI index 2 is selected for EIRP measurement. Table 5.2.2.1-1: Precoding matrix for single-layer transmission using two antenna ports. The permitted test methods (i.e. DFF, IFF and NFTF) in [3] are all applicable for TPMI method with the additional procedure that the UE should be configured with TPMI index and working at single-layer transmission using two antenna ports, before performing EIRP-based test procedures",TPMI,The Transmitted Precoding Matrix Indicator (TPMI) is a parameter used in codebook-based transmission to enable multi-port antenna transmission. It is an indicator that identifies the precoding matrix for single-layer transmission using two antenna ports.,Parameter,3GPP TS 38.884
"UE radio capability signalling optimisation (RACS) is a feature that is optional at both the UE and the network and which aims to optimise the transmission of UE radio capability over the radio interface (see 3GPP TS 23.401[ General Packet Radio Service (GPRS) enhancements for Evolved Universal Terrestrial Radio Access Network (E-UTRAN) access ]  [10]). RACS works by assigning an identifier to represent a set of UE radio capabilities. This identifier is called the UE radio capability ID. A UE radio capability ID can be either manufacturer-assigned or network-assigned. The UE radio capability ID is an alternative to the signalling of the radio capabilities container over the radio interface. In this release of the specification, RACS is not applicable to NB-S1 mode. If the UE supports RACS: - the UE shall indicate support for RACS by setting the RACS bit to ""RACS supported"" in the UE network capability IE of the ATTACH REQUEST and TRACKING AREA UPDATE REQUEST messages; - if the UE performs an attach procedure and the UE has an applicable UE radio capability ID for the current UE radio configuration in the selected network, the UE shall include the UE radio capability ID availability IE in the ATTACH REQUEST message and set the IE to ""UE radio capability ID available""; - if the UE performs a tracking area updating procedure and the UE has an applicable UE radio capability ID for the current UE radio configuration in the selected network, the UE shall include the UE radio capability ID availability IE in the TRACKING AREA UPDATE REQUEST message and set the IE to ""UE radio capability ID available""; - If the UE is requested to provide the UE radio capability ID by the network during a security mode control procedure, the UE shall include the UE radio capability ID in the UE radio capability ID IE of the SECURITY MODE COMPLETE message according to the rules in clause 5.4.3.3.; - if the radio configuration at the UE changes (for instance because the UE has disabled a specific radio capability) then: a) if the UE has an applicable UE radio capability ID for the new UE radio configuration, the UE shall initiate a tracking area updating procedure, include a UE radio capability information update needed IE in the TRACKING AREA UPDATE REQUEST message and set the URCIDA bit to ""UE radio capability ID available"" in the UE radio capability ID availability IE in the TRACKING AREA UPDATE REQUEST message; and b) if the UE does not have an applicable UE radio capability ID for the new UE radio configuration, the UE shall initiate a tracking area updating procedure and shall include a UE radio capability information update needed IE in the TRACKING AREA UPDATE REQUEST message; NOTE: Performing the tracking area updating procedure with the UE radio capability information update needed IE included in the TRACKING AREA UPDATE REQUEST message and without the UE radio capability ID availability IE set to ""UE radio capability ID available"" in the TRACKING AREA UPDATE REQUEST message as specified in b) above can trigger the network to assign a new UE radio capability ID to the UE. - upon receiving a network-assigned UE radio capability ID in the ATTACH ACCEPT message, in the TRACKING AREA UPDATE ACCEPT message or in the GUTI REALLOCATION COMMAND message, the UE shall store the network-assigned UE radio capability ID and the PLMN ID of the serving network along with a mapping to the current UE radio configuration in its non-volatile memory as specified in annex C. The UE shall be able to store at least the last 16 received network-assigned UE radio capability IDs with the associated PLMN ID and the mapping to the corresponding UE radio configuration; - the UE shall not use a network-assigned UE radio capability ID in PLMNs equivalent to the PLMN which assigned it; and - upon receiving a UE radio capability ID deletion indication IE set to ""Network-assigned UE radio capability IDs deletion requested"" in the ATTACH ACCEPT message, in the TRACKING AREA UPDATE ACCEPT message or in the GUTI REALLOCATION COMMAND message, the UE shall delete all network-assigned UE radio capability IDs stored at the UE for the serving network and initiate a tracking area updating procedure. If the UE has an applicable manufacturer-assigned UE radio capability ID for the current UE radio configuration in the selected network, the UE shall include a UE radio capability ID availability IE set to ""UE radio capability ID available"" in the TRACKING AREA UPDATE REQUEST message. If the network supports RACS: - if the UE has included the UE radio capability ID availability IE in the ATTACH REQUEST message and set the IE to ""UE radio capability ID available"", the network shall initiate a security mode control procedure to retrieve the UE radio capability ID from the UE; - if the UE has included the UE radio capability ID availability IE in the TRACKING AREA UPDATE REQUEST message and set the IE to ""UE radio capability ID available"", the network may initiate a security mode control procedure to retrieve the UE radio capability ID from the UE; - if the UE has included the UE radio capability ID availability IE in the TRACKING AREA UPDATE REQUEST message, set the URCIDA bit to ""UE radio capability ID available"" in the UE radio capability ID availability IE and no UE radio capability ID is available in the UE context in the MME, the network shall initiate a security mode control procedure to retrieve the UE radio capability ID from the UE; - the network may assign a network-assigned UE radio capability ID to a UE which supports RACS by including a UE radio capability ID IE in the ATTACH ACCEPT message, in the TRACKING AREA UPDATE ACCEPT message or in the GUTI REALLOCATION COMMAND message; and - the network may trigger the UE to delete all network-assigned UE radio capability IDs stored at the UE for the serving network by including a UE radio capability ID deletion indication IE set to ""Network-assigned UE radio capability IDs deletion requested"" in the ATTACH ACCEPT message, in the TRACKING AREA UPDATE ACCEPT message or in the GUTI REALLOCATION COMMAND message.",RACS,"Radio Capability Signalling Optimisation (RACS) is a feature that optimises the transmission of UE radio capability over the radio interface, aiming to improve efficiency and reduce unnecessary signalling.",Network Function,3GPP TS 24.301
"radio link already contained in the UE active set, UTRAN should provide the same value of the mandatory IEs in the IE ""Radio Link Addition Information"" as the one previously configured. Otherwise the UE behaviour is unspecified. 1> if the table ""Target cell preconfigurations"" in the variable TARGET_CELL_PRECONFIGURATION included the RL indicated in IE ""Radio Link Removal Information"": 2> clear the entry from the variable TARGET_CELL_PRECONFIGURATION. 1> if the ""E-DCH RL Info other cells"" in the table ""Target cell preconfiguration information"" in the variable TARGET_CELL_PRECONFIGURATION included the RL indicated in the IE ""Radio Link Removal Information"": 2> clear all ""E-DCH RL Info other cells"" entries in the variable TARGET_CELL_PRECONFIGURATION for the removed RL(s). 1> if the radio link currently considered to be the serving E-DCH radio link is indicated in the IE ""Radio Link Removal Information"": 2> no longer consider any radio link as the serving E-DCH radio link. 1> if the IE",RL,"A Radio Link (RL) refers to a communication link between a User Equipment (UE) and a Node B in a UTRAN network, specifically in the context of E-DCH (Enhanced Dedicated Channel). It is a connection used for data transmission and is managed by the network, including addition, removal, and configuration.",Connection,3GPP TS 34.123
"The User-Equipment-Info AVP (AVP code 458) is of type grouped and contains the identity and capability of the terminal the subscriber is using for the connection to network according to IETF RFC 4006 [402] with the following ABNF grammar: User-Equipment-Info ::= < AVP Header: 458 > { User-Equipment-Info-Type } { User-Equipment-Info-Value } For PS charging, when the User-Equipment-Info-Type AVP (AVP code 459) is set to IMEISV (0), the value within the User-Equipment-Info-Value AVP (AVP code 460) is of type OctetString and shall be a UTF-8 encoded hexadecimal. The composition of the IMEISV follows the definition in TS 23.003 [224] . If only IMEI is received a filler âFâ is used to make it 16 digits. For IMS charging, when the User-Equipment-Info-Type AVP (AVP code 459) is set to IMEISV (0), the value within the User-Equipment-Info-Value AVP (AVP code 460) is of type OctetString and shall be a UTF-8 encoded decimal. The composition of the IMEISV follows the definition in TS 23.003 [224].",IMEISV,"IMEI Software Version (IMEISV) is a parameter used to identify the software version of a mobile device's International Mobile Equipment Identity (IMEI). It is used in telecommunications for charging and billing purposes, as defined in 3GPP TS 32.299 and TS 23.003.",Parameter,3GPP TS 32.299
RNTI values are presented in Table 7.1-1. Table 7.1-1: RNTI values. Table 7.1-2: RNTI usage.,RNTI,A Radio Network Temporary Identifier (RNTI) is a parameter used in the radio access network to identify specific temporary resources or configurations.,Parameter,3GPP TS 38.321
"(RBGs) that are allocated to the scheduled UE where a RBG is a set of consecutive virtual resource blocks defined by higher layer parameter rbg-Sizeconfigured for PUSCH and the size of the carrier bandwidth part as defined in Table 6.1.2.2.1-1. Table 6.1.2.2.1-1: Nominal RBG size P The total number of RBGs () for a uplink carrier bandwidth part i of sizePRBs is given by where - the size of the first RBG is , - the size of the last RBG is if and P otherwise. - the size of all other RBG is P. The bitmap is of size bits with one bitmap bit per RBG such that each RBG is addressable. The RBGs shall be indexed in the order of increasing frequency of the carrier bandwidth part and starting at the lowest frequency. The order of RBG bitmap is such that RBG 0 to RBG are mapped from MSB to LSB of the bitmap. The RBG is allocated to the UE if the corresponding bit value in the bitmap is 1, the RBG is not allocated to the UE otherwise. [38.214 clause 6.1.2.2.2] In uplink resource allocation of",RBG,"Resource Block Group (RBG) is a parameter that defines a set of consecutive virtual resource blocks in the context of uplink carrier bandwidth part configuration, as specified in 3GPP TS 38.523.",Parameter,3GPP TS 38.523
"The UCMF is used for storage of dictionary entries corresponding to either PLMN-assigned or Manufacturer-assigned UE Radio Capability IDs. An AMF may subscribe with the UCMF to obtain from the UCMF new values of UE Radio Capability ID that the UCMF assigns for the purpose of caching them locally. Provisioning of Manufacturer-assigned UE Radio Capability ID entries in the UCMF is performed from an AF that interacts with the UCMF either directly or via the NEF (or via Network Management) using a procedure defined in TS 23.502[ Procedures for the 5G System (5GS) ]  [3]. A UCMF that serves both EPS and 5GS shall require provisioning the UE Radio Capability ID with the TS 36.331[ Evolved Universal Terrestrial Radio Access (E-UTRA); Radio Resource Control (RRC); Protocol specification ]  [51] format or TS 38.331[ NR; Radio Resource Control (RRC); Protocol specification ]  [28] format or both the formats of the UE radio capabilities. The UCMF also assigns the PLMN-assigned UE Radio Capability ID values. Each PLMN-assigned UE Radio Capability ID is also associated to the TAC of the UE model(s) that it is related to. When an AMF requests the UCMF to assign a UE Radio Capability ID for a set of UE radio capabilities, it indicates the TAC of the UE that the UE Radio Capability information is related to. The UCMF stores a Version ID value for the PLMN assigned UE Radio Capability IDs so it is included in the PLMN assigned UE Radio Capability IDs it assigns. This shall be configured in the UCMF. The UCMF may be provisioned with a dictionary of Manufacturer-assigned UE Radio Capability IDs which include a ""Vendor ID"" that applies to the Manufacturers of these UE, and a list of TACs for which the PLMN has obtained-Manufacturer-assigned UE Radio Capability IDs. A PLMN-assigned UE Radio Capability IDs is kept in the UCMF storage as long as it is associated with at least a TAC value. When a TAC value is related to a UE model that is earmarked for operation based on Manufacturer assigned UE Radio Capability IDs, this TAC value is disassociated in the UCMF from any PLMN assigned UE Radio Capability IDs. For the case that the PLMN is configured to store PLMN assigned IDs in the Manufacturer Assigned operation requested list defined in clause 4.4.1a, the UCMF does not remove from storage any PLMN assigned UE Radio Capability ID no longer used, and rather quarantines it to avoid any future reassignment. A UCMF dictionary entry shall include also the related UE Radio Capability for Paging for each RAT.",5GS,"The 5G System (5GS) is a set of standards and technologies defined by the 3GPP for the fifth generation of wireless networks. It encompasses various components, including network functions like the Access and Mobility Management Function (AMF), User Plane Function (UPF), and Session Management Function (SMF). The 5GS architecture is designed to provide a flexible, scalable, and secure framework for delivering a wide range of services and applications over wireless networks.",Technology,3GPP TS 23.501
"Combination of STUN, TURN, and ICE can solve most of the UDP firewall traversal issues via: Obtaining a server reflexive address via STUN Obtaining a relayed address via TURN Telling the other party about these addresses via ICE Making connectivity checks Obtaining peer reflexive addresses Summary: STUN, TURN, ICE over the default ports achieve firewall traversal of NAT/FW types 1-4, and NIMSFW type 6 (TCP Restricted NAT/FW). STUN, TURN, ICE over the allowed TCP ports (e.g. 80 or 443) achieve firewall traversal also of NIMSFW types 5 and 7 (Port Restricted NAT/FW and Specific Port TCP Restricted NAT/FW). STUN, TURN, ICE does not achieve firewall traversal of NIMSFW type 8 (Firewall with HTTP Proxy), unless the TCP connections are set up with HTTP CONNECT. STUN, TURN, ICE over TLS on the allowed TCP port (e.g. 443) achieve firewall traversal also of NIMSFW type 9 (Firewall with Deep Packet Inspection (DPI) capability and Application Awareness).",ICE,"Interactive Connectivity Establishment (ICE) is a protocol used for NAT traversal, enabling devices behind different networks to establish peer-to-peer connections. It combines the benefits of STUN and TURN protocols to facilitate communication between endpoints in various network configurations.",Protocol,3GPP TS 33.830
The following test conditions should be maintained for Satellite Access - The same ephemeris info will be maintained during each test. - A set of ephemeris information are pre-defined for each satellite corresponding to respective epoch times in TS 36.508 [12]. - The range of the selected constant delay shift is as follows: - For NGSO an altitude of 600km and 1200km on a circular orbit are considered. The range of the one-way delay between UE and satellite is from 2ms (lowest value for LEO orbit 600km) to 6.67ms (highest value for LEO orbit 1200km). - Constant delay value is derived from ephemeris info (SIB31) and UE location associated to zero Doppler or non-zero Doppler value under test.,LEO,"Low Earth Orbit (LEO) refers to a satellite orbit around the Earth at an altitude of approximately 600-1200 km. In the context of 3GPP TS 36.521, LEO is used to simulate satellite access conditions for testing purposes, with specific considerations for one-way delay between UE and satellite.",Technology,TS 36.521
"In the development of a 3G network, three general phases can be described which represent different degrees of stability. Once the first stage is over, the system will cycle between the second and the third phases. This is known as the network life-cycle and includes: 1) the 3G network is installed and put into service; 2) the 3G network reaches certain stability and is only modified (dynamically) to satisfy short-term requirements. E.g. by (dynamic) re-configuration of resources or parameter modification; this stable state of a 3G network cannot be regarded as the final one because each equipment or SW modification will let the 3G network progress to an unstable state and require optimisation actions again; 3) the 3G network is being adjusted to meet the long-term requirements of the network operator and the customer, e.g. with regard to performance, capacity and customer satisfaction through the enhancement of the network or equipment up-grade. During these phases, the operators will",3G,"3G refers to the third generation of wireless mobile telecommunications technology, which provides enhanced data speeds and capabilities compared to its predecessors. It enables faster internet access, multimedia services, and improved voice quality.",Technology,3GPP TS 32.106
"guaranteed that LBE nodes are absent on a long term basis (e.g., by level of regulation) and FBE gNBs are synchronized can achieve the following: Ability to use frequency reuse factor 1; Lower complexity for channel access due to lack of necessity to perform random backoff. It is noted that this does not imply that LBE does not have benefits in similar scenarios although there are differences between the two modes of operation. It is also noted that FBE may also have some disadvantages compared to other modes of operation such as LBE, e.g., a fixed overhead for idle time during a frame. For wideband operation for both DL and UL, - Bandwidth larger than 20 MHz can be supported with multiple serving cells. - NR-U should support that a serving cell can be configured with bandwidth larger than 20 MHz. For DL operation, the following options for BWP-based operation within a carrier with bandwidth larger than 20 MHz can be considered. - Option 1a: Multiple BWPs configured, multiple BWPs",LBE,"Load Based Equipment (LBE) is a technology or mode of operation in the context of 5G New Radio Unlicensed (NR-U) as discussed in 3GPP TS 38.889. It is compared and contrasted with another mode of operation, Frame Based Equipment (FBE), highlighting their differences and implications for network performance and complexity.",Technology,3GPP TS 38.889
"For the purposes of the present document, the following terms and definitions apply: Elementary Procedure: SABP consists of Elementary Procedures (EPs). An Elementary Procedure is a unit of interaction between the CN (CBC) and the RNC. These EPs are defined separately and are intended to be used to build up complete sequences in a flexible manner. If the independence between some EPs is restricted, it is described under the relevant EP description. Unless otherwise stated by the restrictions, the EPs may be invoked independently of each other as stand alone procedures, which can be active in parallel. Examples on using several SABP EPs together with each other and EPs from other interfaces can be found in reference TR 25.931 [4]. An EP consists of an initiating message and possibly a response message. Two kinds of EPs are used: - Class 1: Elementary Procedures with response (success or failure). - Class 2: Elementary Procedures without response. For Class 1 EPs, the types of responses",SFTP,"The Secure File Transfer Protocol (SFTP) is a protocol that utilizes TCP as a transport protocol, providing secure file transfer capabilities. It operates at the application layer and is used for transferring files securely between a client and a server.",Protocol,TS 37.901
"key stored in UE, and with UNonce and TNonce. 9. The UE responds with a 5G-Challenge containing UNonce, TNonce and MAC2. 10. The TNGF derives an expected MAC2 (XMAC2) using TNGF and with UNonce and TNonce. Compares XMAC2 with the received MAC2. If they match, the UE is authenticated by TNGF. 11. The TNGF derives a fresh Reauth-ID for the UE, e.g. by using TNGF key stored in TNGF, TNGF-ID, TNonce and UNonce. In addition, the TNGF derives a new TNAP key by using the TNGF key stored in TNGF, the TNGF-ID, the TNonce and UNonce values. 12. The TNGF completes the EAP-5G session by sending an EAP-Success packet to UE and the new TNAP key to TNAP2. 13. The UE derives a new Reauth-ID by using the TNGF key stored in UE, TNGF-ID, TNonce and UNonce. If the UE and the TNGF share the same TNGF key, then the Reauth-ID derived independently in the UE and in the TNGF will be the same. In addition, the UE derives also a new TNAP key similarly to the TNGF (as in step 11). 14. The new TNAP key is applied",TNGF,"The Trusted Non-3GPP Gateway Function (TNGF) is a network function responsible for authenticating and managing user equipment (UE) access to the 5G core network. It handles key derivation, authentication, and session management, ensuring secure connections between the UE and the network.",Network Function,3GPP TS 33.887
"N)*(UE_ID mod N) Index (i_s), indicating the index of the PO is determined by: i_s = floor (UE_ID/N) mod Ns The PDCCH monitoring occasions for paging are determined according to pagingSearchSpace as specified in TS 38.213 [4] and firstPDCCH-MonitoringOccasionOfPO and nrofPDCCH-MonitoringOccasionPerSSB-InPO if configured as specified in TS 38.331 [3]. When SearchSpaceId = 0 is configured for pagingSearchSpace, the PDCCH monitoring occasions for paging are same as for RMSI as defined in clause 13 in TS 38.213 [4]. When SearchSpaceId = 0 is configured for pagingSearchSpace, Ns is either 1 or 2. For Ns = 1, there is only one PO which starts from the first PDCCH monitoring occasion for paging in the PF. For Ns = 2, PO is either in the first half frame (i_s = 0) or the second half frame (i_s = 1) of the PF. When SearchSpaceId other than 0 is configured for pagingSearchSpace, the UE monitors the (i_s + 1)th PO. A PO is a set of 'S*X ' consecutive PDCCH monitoring occasions where 'S' is the",PO,"Paging Occasion (PO) is a time interval during which a User Equipment (UE) monitors the Physical Downlink Control Channel (PDCCH) for paging messages from the network. It's determined by the UE's ID and network configuration, influencing the length and position within a frame.",Network,3GPP TS 38.523
